,Technique,k,HP_n_estimators,HP_max_depth,Class,Accuracy,F1_Score,Precision,Recall
0,MI,28,300,10,0,0.9977733795150915,0.9965406473931308,0.9953109575518263,0.9977733795150915
1,MI,28,300,10,1,0.9945961319681457,0.9960125320421532,0.9974329720479178,0.9945961319681457
2,Correlation,28,300,10,0,0.9970311726867888,0.9938347718865599,0.9906588003933137,0.9970311726867888
3,Correlation,28,300,10,1,0.9891922639362912,0.9928632600628033,0.9965616045845272,0.9891922639362912
4,RF Feature Importance,28,400,10,0,0.9975259772389906,0.9961704756022236,0.9948186528497409,0.9975259772389906
5,RF Feature Importance,28,400,10,1,0.9940273037542662,0.9955846745477852,0.9971469329529244,0.9940273037542662
6,SHAP,28,300,10,0,0.9972785749628896,0.9958003952569169,0.9943265910212136,0.9972785749628896
7,SHAP,28,300,10,1,0.9934584755403868,0.9951566951566951,0.9968607305936074,0.9934584755403868
8,MI,32,300,10,0,0.9972785749628896,0.9959234095120445,0.9945719220330619,0.9972785749628896
9,MI,32,300,10,1,0.9937428896473265,0.9952998148411907,0.9968616262482168,0.9937428896473265
10,Correlation,32,400,10,0,0.9975259772389906,0.9940828402366865,0.9906633906633907,0.9975259772389906
11,Correlation,32,400,10,1,0.9891922639362912,0.9931467732724157,0.9971330275229358,0.9891922639362912
12,RF Feature Importance,32,300,10,0,0.9977733795150915,0.9959254228917152,0.9940842987429135,0.9977733795150915
13,RF Feature Importance,32,300,10,1,0.9931740614334471,0.9952971355280034,0.9974293059125964,0.9931740614334471
14,SHAP,32,200,10,0,0.9975259772389906,0.9959244164505372,0.994327990135635,0.9975259772389906
15,SHAP,32,200,10,1,0.9934584755403868,0.9952984755663199,0.9971453040251214,0.9934584755403868
