Technique,k,HP_n_estimators,HP_max_depth,Class,Accuracy,F1_Score,Precision,Recall
MI,11,200,10,0,0.990351311,0.993423502,0.996514812,0.990351311
MI,11,200,10,1,0.996018203,0.992489727,0.988986162,0.996018203
Correlation,11,200,10,0,0.989361702,0.974177832,0.959452975,0.989361702
Correlation,11,200,10,1,0.951934016,0.969302056,0.987315634,0.951934016
RF Feature Importance,11,300,9,0,0.990351311,0.989983925,0.989616811,0.990351311
RF Feature Importance,11,300,9,1,0.988054608,0.988476312,0.988898377,0.988054608
SHAP,11,400,10,0,0.992083127,0.991102323,0.990123457,0.992083127
SHAP,11,400,10,1,0.988623436,0.989749431,0.990877993,0.988623436
MI,21,300,10,0,0.997278575,0.994694633,0.992124046,0.997278575
MI,21,300,10,1,0.990898749,0.993866781,0.996852647,0.990898749
Correlation,21,300,10,0,0.996536368,0.990654206,0.984841076,0.996536368
Correlation,21,300,10,1,0.982366325,0.989117984,0.995963091,0.982366325
RF Feature Importance,21,300,10,0,0.997278575,0.996292635,0.995308642,0.997278575
RF Feature Importance,21,300,10,1,0.994596132,0.995728929,0.99686431,0.994596132
SHAP,21,400,10,0,0.99777338,0.99678695,0.995802469,0.99777338
SHAP,21,400,10,1,0.99516496,0.996298405,0.997434436,0.99516496
MI,28,300,10,0,0.99777338,0.996540647,0.995310958,0.99777338
MI,28,300,10,1,0.994596132,0.996012532,0.997432972,0.994596132
Correlation,28,300,10,0,0.997031173,0.993834772,0.9906588,0.997031173
Correlation,28,300,10,1,0.989192264,0.99286326,0.996561605,0.989192264
RF Feature Importance,28,400,10,0,0.997525977,0.996170476,0.994818653,0.997525977
RF Feature Importance,28,400,10,1,0.994027304,0.995584675,0.997146933,0.994027304
SHAP,28,300,10,0,0.997278575,0.995800395,0.994326591,0.997278575
SHAP,28,300,10,1,0.993458476,0.995156695,0.996860731,0.993458476
MI,32,300,10,0,0.997525977,0.995924416,0.99432799,0.997525977
MI,32,300,10,1,0.993458476,0.995298476,0.997145304,0.993458476
Correlation,32,200,10,0,0.997525977,0.993837811,0.990176817,0.997525977
Correlation,32,200,10,1,0.988623436,0.992859183,0.997131383,0.988623436
RF Feature Importance,32,300,10,0,0.99777338,0.995925423,0.994084299,0.99777338
RF Feature Importance,32,300,10,1,0.993174061,0.995297136,0.997429306,0.993174061
SHAP,32,200,10,0,0.997525977,0.995924416,0.99432799,0.997525977
SHAP,32,200,10,1,0.993458476,0.995298476,0.997145304,0.993458476
